ASVs,Domain,Phylum,Class,Order,Family
ASV 1,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Nocardiaceae
ASV 2,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Nocardiaceae
ASV 3,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Nocardiaceae
ASV 4,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Nocardiaceae
ASV 5,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Nocardiaceae
ASV 6,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Nocardiaceae
ASV 7,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Nocardiaceae
ASV 8,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Nocardiaceae
ASV 9,Bacteria,Actinobacteria,Actinobacteria,Frankiales,Sporichthyaceae
ASV 10,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Nocardiaceae
ASV 11,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Nocardiaceae
ASV 12,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Nocardiaceae
ASV 13,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Nocardiaceae
ASV 14,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Nocardiaceae
ASV 15,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Nocardiaceae
ASV 16,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Nocardiaceae
ASV 17,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Nocardiaceae
ASV 18,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Nocardiaceae
ASV 19,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Nocardiaceae
ASV 20,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Nocardiaceae
ASV 21,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Nocardiaceae
ASV 22,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Nocardiaceae
ASV 23,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae
ASV 24,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae
ASV 25,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae
ASV 26,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Nocardiaceae
ASV 27,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae
